,size,from_Concordia,price
383,5.5,1.0,5025.0
384,3.5,1.0,1765.0
385,4.5,1.0,2375.0
386,5.5,5.0,3500.0
387,4.5,5.0,2000.0
388,3.5,5.0,1385.0
389,1.5,5.0,1114.0
390,3.5,2.0,1650.0
391,5.5,1.0,4820.0
392,4.5,1.0,2230.0
393,3.5,1.0,1875.0
394,1.5,6.0,1200.0
395,4.5,2.0,2390.0
396,4.5,5.0,1195.0
397,3.5,1.0,1695.0
398,4.5,1.0,2150.0
399,1.5,1.0,1655.0
400,1.5,2.0,1820.0
401,5.5,2.0,3200.0
402,5.5,2.0,3450.0
403,3.5,2.0,1605.0
404,1.5,2.0,1275.0
405,3.5,3.0,1375.0
406,4.5,7.0,2225.0
407,3.5,2.0,1550.0
409,4.5,1.0,2325.0
410,1.5,8.0,720.0
411,5.5,9.0,1700.0
412,7.5,4.0,2900.0
413,1.5,9.0,740.0
414,6.5,3.0,3500.0
415,3.5,6.0,1350.0
416,4.5,9.0,1550.0
417,1.5,4.0,950.0
418,4.5,7.0,2000.0
419,5.5,10.0,1400.0
420,4.5,1.0,2639.0
421,3.5,1.0,1765.0
422,1.5,1.0,1538.0
423,3.5,3.0,1700.0
424,5.5,2.0,3442.0
425,3.5,2.0,1715.0
426,4.5,2.0,2415.0
427,1.5,2.0,1505.0
428,5.5,1.0,5025.0
429,3.5,1.0,1765.0
430,4.5,1.0,2375.0
431,5.5,5.0,3500.0
432,4.5,5.0,2000.0
433,3.5,5.0,1385.0
434,1.5,5.0,1114.0
435,3.5,2.0,1650.0
436,5.5,1.0,4820.0
437,4.5,1.0,2230.0
438,3.5,1.0,1875.0
439,1.5,6.0,1200.0
440,4.5,2.0,2390.0
441,4.5,5.0,1195.0
442,3.5,1.0,1695.0
443,4.5,1.0,2150.0
444,1.5,1.0,1655.0
445,1.5,2.0,1820.0
446,5.5,2.0,3200.0
447,5.5,2.0,3450.0
448,3.5,2.0,1605.0
449,1.5,2.0,1275.0
450,4.5,2.0,2015.0
451,4.5,1.0,2970.0
452,4.5,3.0,1750.0
453,4.5,3.0,2225.0
454,4.5,10.0,1700.0
455,1.5,8.0,720.0
456,5.5,9.0,1700.0
457,7.5,4.0,2900.0
458,1.5,9.0,740.0
459,6.5,3.0,3500.0
460,3.5,6.0,1350.0
461,4.5,9.0,1550.0
462,1.5,4.0,950.0
463,4.5,7.0,2000.0
464,5.5,10.0,1400.0
465,4.5,1.0,2639.0
466,3.5,1.0,1765.0
467,1.5,1.0,1538.0
468,3.5,3.0,1700.0
469,5.5,2.0,3442.0
470,3.5,2.0,1715.0
471,4.5,2.0,2415.0
472,1.5,2.0,1505.0
473,5.5,1.0,5025.0
474,3.5,1.0,1765.0
475,4.5,1.0,2375.0
476,5.5,5.0,3500.0
477,4.5,5.0,2000.0
478,3.5,5.0,1385.0
479,1.5,5.0,1114.0
480,3.5,2.0,1650.0
481,5.5,1.0,4820.0
482,4.5,1.0,2230.0
483,3.5,1.0,1875.0
484,1.5,6.0,1200.0
485,4.5,2.0,2390.0
486,4.5,5.0,1195.0
487,3.5,1.0,1695.0
488,4.5,1.0,2150.0
489,1.5,1.0,1655.0
490,1.5,2.0,1820.0
491,5.5,2.0,3200.0
492,5.5,2.0,3450.0
493,3.5,2.0,1605.0
494,1.5,2.0,1275.0
495,4.5,6.0,3295.0
496,6.5,6.0,5460.0
497,3.5,8.0,1550.0
498,4.5,4.0,2600.0
499,3.5,3.0,1375.0
500,1.5,8.0,720.0
501,5.5,9.0,1700.0
502,7.5,4.0,2900.0
503,1.5,9.0,740.0
504,6.5,3.0,3500.0
505,3.5,6.0,1350.0
506,4.5,9.0,1550.0
507,1.5,4.0,950.0
508,4.5,7.0,2000.0
509,5.5,10.0,1400.0
510,4.5,1.0,2639.0
511,3.5,1.0,1765.0
512,1.5,1.0,1538.0
513,3.5,3.0,1700.0
514,5.5,2.0,3442.0
515,3.5,2.0,1715.0
516,4.5,2.0,2415.0
517,1.5,2.0,1505.0
518,5.5,1.0,5025.0
519,3.5,1.0,1765.0
520,4.5,1.0,2375.0
521,5.5,5.0,3500.0
522,4.5,5.0,2000.0
523,3.5,5.0,1385.0
524,1.5,5.0,1114.0
525,3.5,2.0,1650.0
526,5.5,1.0,4820.0
527,4.5,1.0,2230.0
528,3.5,1.0,1875.0
529,1.5,6.0,1200.0
530,4.5,2.0,2390.0
531,4.5,5.0,1195.0
532,3.5,1.0,1695.0
533,4.5,1.0,2150.0
534,1.5,1.0,1655.0
535,1.5,2.0,1820.0
536,5.5,2.0,3200.0
537,5.5,2.0,3450.0
538,3.5,2.0,1605.0
539,1.5,2.0,1275.0
540,4.5,1.0,2970.0
541,3.5,2.0,1645.0
542,6.5,1.0,3000.0
543,3.5,2.0,1850.0
544,1.5,1.0,1195.0
545,1.5,8.0,720.0
546,5.5,9.0,1700.0
547,7.5,4.0,2900.0
548,1.5,9.0,740.0
549,6.5,3.0,3500.0
550,3.5,6.0,1350.0
551,4.5,9.0,1550.0
552,1.5,4.0,950.0
553,4.5,7.0,2000.0
554,5.5,10.0,1400.0
555,4.5,1.0,2639.0
556,3.5,1.0,1765.0
557,1.5,1.0,1538.0
558,3.5,3.0,1700.0
559,5.5,2.0,3442.0
560,3.5,2.0,1715.0
561,4.5,2.0,2415.0
562,1.5,2.0,1505.0
563,5.5,1.0,5025.0
564,3.5,1.0,1765.0
565,4.5,1.0,2375.0
566,5.5,5.0,3500.0
567,4.5,5.0,2000.0
568,3.5,5.0,1385.0
569,1.5,5.0,1114.0
570,3.5,2.0,1650.0
571,5.5,1.0,4820.0
572,4.5,1.0,2230.0
573,3.5,1.0,1875.0
574,1.5,6.0,1200.0
575,4.5,2.0,2390.0
576,4.5,5.0,1195.0
577,3.5,1.0,1695.0
578,4.5,1.0,2150.0
579,1.5,1.0,1655.0
580,1.5,2.0,1820.0
581,5.5,2.0,3200.0
582,5.5,2.0,3450.0
583,3.5,2.0,1605.0
584,1.5,2.0,1275.0
585,3.5,4.0,1570.0
586,4.5,5.0,2565.0
587,3.5,8.0,1350.0
588,1.5,1.0,1475.0
589,4.5,4.0,1350.0
590,1.5,8.0,720.0
591,5.5,9.0,1700.0
592,7.5,4.0,2900.0
593,1.5,9.0,740.0
594,6.5,3.0,3500.0
595,3.5,6.0,1350.0
596,4.5,9.0,1550.0
597,1.5,4.0,950.0
598,4.5,7.0,2000.0
599,5.5,10.0,1400.0
600,4.5,1.0,2639.0
601,3.5,1.0,1765.0
602,1.5,1.0,1538.0
603,3.5,3.0,1700.0
604,5.5,2.0,3442.0
605,3.5,2.0,1715.0
606,4.5,2.0,2415.0
607,1.5,2.0,1505.0
608,5.5,1.0,5025.0
609,3.5,1.0,1765.0
610,4.5,1.0,2375.0
611,5.5,5.0,3500.0
612,4.5,5.0,2000.0
613,3.5,5.0,1385.0
614,1.5,5.0,1114.0
615,3.5,2.0,1650.0
616,5.5,1.0,4820.0
617,4.5,1.0,2230.0
618,3.5,1.0,1875.0
619,1.5,6.0,1200.0
620,4.5,2.0,2390.0
621,4.5,5.0,1195.0
622,3.5,1.0,1695.0
623,4.5,1.0,2150.0
624,1.5,1.0,1655.0
625,1.5,2.0,1820.0
626,5.5,2.0,3200.0
627,5.5,2.0,3450.0
628,3.5,2.0,1605.0
629,1.5,2.0,1275.0
630,3.5,4.0,1365.0
631,4.5,3.0,1795.0
632,4.5,2.0,2015.0
633,4.5,1.0,1950.0
634,4.5,3.0,2086.0
635,1.5,8.0,720.0
636,5.5,9.0,1700.0
637,7.5,4.0,2900.0
638,1.5,9.0,740.0
639,6.5,3.0,3500.0
640,3.5,6.0,1350.0
641,4.5,9.0,1550.0
642,1.5,4.0,950.0
643,4.5,7.0,2000.0
644,5.5,10.0,1400.0
645,4.5,1.0,2639.0
646,3.5,1.0,1765.0
647,1.5,1.0,1538.0
648,3.5,3.0,1700.0
649,5.5,2.0,3442.0
650,3.5,2.0,1715.0
651,4.5,2.0,2415.0
652,1.5,2.0,1505.0
653,5.5,1.0,5025.0
654,3.5,1.0,1765.0
655,4.5,1.0,2375.0
656,5.5,5.0,3500.0
657,4.5,5.0,2000.0
658,3.5,5.0,1385.0
659,1.5,5.0,1114.0
660,3.5,2.0,1650.0
661,5.5,1.0,4820.0
662,4.5,1.0,2230.0
663,3.5,1.0,1875.0
664,1.5,6.0,1200.0
665,4.5,2.0,2390.0
666,4.5,5.0,1195.0
667,3.5,1.0,1695.0
668,4.5,1.0,2150.0
669,1.5,1.0,1655.0
670,1.5,2.0,1820.0
671,5.5,2.0,3200.0
672,5.5,2.0,3450.0
673,3.5,2.0,1605.0
674,1.5,2.0,1275.0
675,1.5,1.0,1135.0
676,1.5,1.0,1510.0
677,4.5,2.0,2250.0
678,4.5,8.0,1960.0
679,3.5,9.0,1295.0
680,1.5,8.0,720.0
681,5.5,9.0,1700.0
682,7.5,4.0,2900.0
683,1.5,9.0,740.0
684,6.5,3.0,3500.0
685,3.5,6.0,1350.0
686,4.5,9.0,1550.0
687,1.5,4.0,950.0
688,4.5,7.0,2000.0
689,5.5,10.0,1400.0
690,4.5,1.0,2639.0
691,3.5,1.0,1765.0
692,1.5,1.0,1538.0
693,3.5,3.0,1700.0
694,5.5,2.0,3442.0
695,3.5,2.0,1715.0
696,4.5,2.0,2415.0
697,1.5,2.0,1505.0
698,5.5,1.0,5025.0
699,3.5,1.0,1765.0
700,4.5,1.0,2375.0
701,5.5,5.0,3500.0
702,4.5,5.0,2000.0
703,3.5,5.0,1385.0
704,1.5,5.0,1114.0
705,3.5,2.0,1650.0
706,5.5,1.0,4820.0
707,4.5,1.0,2230.0
708,3.5,1.0,1875.0
709,1.5,6.0,1200.0
710,4.5,2.0,2390.0
711,4.5,5.0,1195.0
712,3.5,1.0,1695.0
713,4.5,1.0,2150.0
714,1.5,1.0,1655.0
715,1.5,2.0,1820.0
716,5.5,2.0,3200.0
717,5.5,2.0,3450.0
718,3.5,2.0,1605.0
719,1.5,2.0,1275.0
720,3.5,8.0,1550.0
721,4.5,3.0,1800.0
722,5.5,1.0,3100.0
723,4.5,9.0,2296.0
724,1.5,5.0,635.0
725,1.5,8.0,720.0
726,5.5,9.0,1700.0
727,7.5,4.0,2900.0
728,1.5,9.0,740.0
729,6.5,3.0,3500.0
730,3.5,6.0,1350.0
731,4.5,9.0,1550.0
732,1.5,4.0,950.0
733,4.5,7.0,2000.0
734,5.5,10.0,1400.0
735,4.5,1.0,2639.0
736,3.5,1.0,1765.0
737,1.5,1.0,1538.0
738,3.5,3.0,1700.0
739,5.5,2.0,3442.0
740,3.5,2.0,1715.0
741,4.5,2.0,2415.0
742,1.5,2.0,1505.0
743,5.5,1.0,5025.0
744,3.5,1.0,1765.0
745,4.5,1.0,2375.0
746,5.5,5.0,3500.0
747,4.5,5.0,2000.0
748,3.5,5.0,1385.0
749,1.5,5.0,1114.0
750,3.5,2.0,1650.0
751,5.5,1.0,4820.0
752,4.5,1.0,2230.0
753,3.5,1.0,1875.0
754,1.5,6.0,1200.0
755,4.5,2.0,2390.0
756,4.5,5.0,1195.0
757,3.5,1.0,1695.0
758,4.5,1.0,2150.0
759,1.5,1.0,1655.0
760,1.5,2.0,1820.0
761,5.5,2.0,3200.0
762,5.5,2.0,3450.0
763,3.5,2.0,1605.0
764,1.5,2.0,1275.0
765,1.5,1.0,1856.0
766,4.5,2.0,1845.0
767,4.5,10.0,1700.0
768,3.5,1.0,1829.0
769,3.5,1.0,1455.0
770,1.5,8.0,720.0
771,5.5,9.0,1700.0
772,7.5,4.0,2900.0
773,1.5,9.0,740.0
774,6.5,3.0,3500.0
775,3.5,6.0,1350.0
776,4.5,9.0,1550.0
777,1.5,4.0,950.0
778,4.5,7.0,2000.0
779,5.5,10.0,1400.0
780,4.5,1.0,2639.0
781,3.5,1.0,1765.0
782,1.5,1.0,1538.0
783,3.5,3.0,1700.0
784,5.5,2.0,3442.0
785,3.5,2.0,1715.0
786,4.5,2.0,2415.0
787,1.5,2.0,1505.0
788,5.5,1.0,5025.0
789,3.5,1.0,1765.0
790,4.5,1.0,2375.0
791,5.5,5.0,3500.0
792,4.5,5.0,2000.0
793,3.5,5.0,1385.0
794,1.5,5.0,1114.0
795,3.5,2.0,1650.0
796,5.5,1.0,4820.0
797,4.5,1.0,2230.0
798,3.5,1.0,1875.0
799,1.5,6.0,1200.0
800,4.5,2.0,2390.0
801,4.5,5.0,1195.0
802,3.5,1.0,1695.0
803,4.5,1.0,2150.0
804,1.5,1.0,1655.0
805,1.5,2.0,1820.0
806,5.5,2.0,3200.0
807,5.5,2.0,3450.0
808,3.5,2.0,1605.0
809,1.5,2.0,1275.0
810,3.5,8.0,1585.0
811,4.5,4.0,1500.0
812,4.5,1.0,1975.0
813,4.5,7.0,2225.0
814,3.5,3.0,1395.0
815,1.5,8.0,720.0
816,5.5,9.0,1700.0
817,7.5,4.0,2900.0
818,1.5,9.0,740.0
819,6.5,3.0,3500.0
820,3.5,6.0,1350.0
821,4.5,9.0,1550.0
822,1.5,4.0,950.0
823,4.5,7.0,2000.0
824,5.5,10.0,1400.0
825,4.5,1.0,2639.0
826,3.5,1.0,1765.0
827,1.5,1.0,1538.0
828,3.5,3.0,1700.0
829,5.5,2.0,3442.0
830,3.5,2.0,1715.0
831,4.5,2.0,2415.0
832,1.5,2.0,1505.0
833,5.5,1.0,5025.0
834,3.5,1.0,1765.0
835,4.5,1.0,2375.0
836,5.5,5.0,3500.0
837,4.5,5.0,2000.0
838,3.5,5.0,1385.0
839,1.5,5.0,1114.0
840,3.5,2.0,1650.0
841,5.5,1.0,4820.0
842,4.5,1.0,2230.0
843,3.5,1.0,1875.0
844,1.5,6.0,1200.0
845,4.5,2.0,2390.0
846,4.5,5.0,1195.0
847,3.5,1.0,1695.0
848,4.5,1.0,2150.0
849,1.5,1.0,1655.0
850,1.5,2.0,1820.0
851,5.5,2.0,3200.0
852,5.5,2.0,3450.0
853,3.5,2.0,1605.0
854,1.5,2.0,1275.0
856,4.5,7.0,1696.0
857,3.5,1.0,1350.0
858,4.5,5.0,2150.0
859,4.5,9.0,2296.0
860,1.5,8.0,720.0
861,5.5,9.0,1700.0
862,7.5,4.0,2900.0
863,1.5,9.0,740.0
864,6.5,3.0,3500.0
865,3.5,6.0,1350.0
866,4.5,9.0,1550.0
867,1.5,4.0,950.0
868,4.5,7.0,2000.0
869,5.5,10.0,1400.0
870,4.5,1.0,2639.0
871,3.5,1.0,1765.0
872,1.5,1.0,1538.0
873,3.5,3.0,1700.0
874,5.5,2.0,3442.0
875,3.5,2.0,1715.0
876,4.5,2.0,2415.0
877,1.5,2.0,1505.0
878,5.5,1.0,5025.0
879,3.5,1.0,1765.0
